transactionId,farmerId,logisticsId,shipmentDatetime,shipmentDate,shipmentTime,dataSource,generatorVersion,origin,originState,originCity,originHub,destination,destinationState,destinationCity,destinationMarket,season,routeDistanceKm,quantitySentCrates,averageCrateWeightKg,quantitySentKg,pricePerCrateNgn,packagingType,transportMode,roadCondition,checkpointDelayHours,vehicleBreakdown,coldStorageAvailable,storageType,hoursSinceHarvestAtDispatch,storageDelayHours,ripenessLevel,initialDamageLevel,handlingQuality,humidityPercent,transitTimeHours,averageTemperatureC,spoilageStatus,spoilageStatusLabel,spoilageRatePercent,quantitySpoiledCrates,quantityDeliveredCrates,potentialRevenueNgn,deliveredRevenueNgn,financialLossNgn
TXN-2026-000001,FRM-754,LOG-24,2026-01-13T16:30:00,2026-01-13,16:30:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,790.7,85,26.4,2244.0,10356,Plastic Crate,Covered Truck,Fair,0.0,No,Yes,Shaded Storage,25.0,0.5,Overripe,None,Fair,55.6,22.4,33.7,0,Not Spoiled,6.5,6,79,880260,818124,62136
TXN-2026-000002,FRM-320,LOG-53,2026-02-22T06:45:00,2026-02-22,06:45:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,1302.9,266,24.1,6410.6,12002,Sack,Traditional Open Truck,Fair,0.0,No,Yes,Cold Storage,11.0,11.3,Unripe,Low,Good,58.1,39.6,41.2,0,Not Spoiled,0.0,0,266,3192532,3192532,0
TXN-2026-000003,FRM-750,LOG-56,2026-03-25T10:30:00,2026-03-25,10:30:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,1044.5,229,27.6,6320.4,13658,Plastic Crate,Traditional Open Truck,Fair,2.0,No,No,No Storage,24.0,11.5,Ripe,None,Fair,43.0,31.7,29.0,0,Not Spoiled,4.6,11,218,3127682,2977444,150238
TXN-2026-000004,FRM-422,LOG-37,2026-12-02T12:45:00,2026-12-02,12:45:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,1060.1,117,22.8,2667.6,11361,Raffia Basket,Traditional Open Truck,Poor,0.0,No,No,No Storage,27.3,2.5,Ripe,Moderate,Fair,40.6,35.4,38.1,1,Spoiled,79.0,92,25,1329237,284025,1045212
TXN-2026-000005,FRM-666,LOG-11,2026-12-15T16:00:00,2026-12-15,16:00:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,742.3,78,23.8,1856.4,13938,Sack,Traditional Open Truck,Poor,0.0,No,No,Open Storage,7.4,1.9,Unripe,Moderate,Fair,48.1,30.9,33.7,1,Spoiled,55.3,43,35,1087164,487830,599334
TXN-2026-000006,FRM-119,LOG-24,2026-07-05T19:30:00,2026-07-05,19:30:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,869.9,111,27.3,3030.3,21452,Wooden Crate,Traditional Open Truck,Good,1.0,No,No,Shaded Storage,34.2,8.6,Unripe,Low,Good,70.7,24.7,31.5,0,Not Spoiled,0.2,0,111,2381172,2381172,0
TXN-2026-000007,FRM-548,LOG-76,2026-08-20T06:15:00,2026-08-20,06:15:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,930.7,136,22.1,3005.6,19067,Plastic Crate,Covered Truck,Fair,1.0,No,Yes,Cold Storage,20.8,5.9,Ripe,None,Fair,84.5,24.4,30.2,0,Not Spoiled,2.6,4,132,2593112,2516844,76268
TXN-2026-000008,FRM-199,LOG-94,2026-08-09T10:45:00,2026-08-09,10:45:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Onitsha,Anambra,Onitsha,N/A,Rainy Season,746.2,271,26.4,7154.4,18797,Plastic Crate,Covered Truck,Fair,0.0,No,No,Shaded Storage,24.9,3.4,Overripe,None,Fair,89.9,19.3,27.4,0,Not Spoiled,5.5,15,256,5093987,4812032,281955
TXN-2026-000009,FRM-195,LOG-40,2026-03-27T11:45:00,2026-03-27,11:45:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,1075.0,271,24.4,6612.4,8129,Wooden Crate,Traditional Open Truck,Fair,0.0,No,No,Open Storage,4.0,17.2,Semi-ripe,Severe,Good,45.4,32.4,41.5,1,Spoiled,44.7,121,150,2202959,1219350,983609
TXN-2026-000010,FRM-588,LOG-74,2026-09-29T07:00:00,2026-09-29,07:00:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Ibadan (Bodija),Oyo,Ibadan,Bodija,Rainy Season,1032.8,67,25.6,1715.2,15926,Plastic Crate,Traditional Open Truck,Fair,0.0,No,No,Open Storage,25.0,7.5,Semi-ripe,None,Poor,84.3,30.8,27.1,0,Not Spoiled,7.4,5,62,1067042,987412,79630
TXN-2026-000011,FRM-174,LOG-11,2026-08-23T14:00:00,2026-08-23,14:00:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Ibadan (Bodija),Oyo,Ibadan,Bodija,Rainy Season,1095.0,179,23.6,4224.4,17791,Plastic Crate,Traditional Open Truck,Fair,4.0,Yes,No,No Storage,33.7,11.0,Overripe,Moderate,Fair,73.1,39.4,33.7,1,Spoiled,64.4,115,64,3184589,1138624,2045965
TXN-2026-000012,FRM-388,LOG-87,2026-04-18T16:30:00,2026-04-18,16:30:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,1011.5,179,24.9,4457.1,22504,Plastic Crate,Covered Truck,Fair,1.0,No,Yes,Open Storage,32.8,11.5,Ripe,None,Fair,65.3,28.3,24.2,0,Not Spoiled,9.6,17,162,4028216,3645648,382568
TXN-2026-000013,FRM-665,LOG-28,2026-08-09T07:00:00,2026-08-09,07:00:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,736.0,280,27.6,7728.0,23299,Raffia Basket,Traditional Open Truck,Fair,0.0,No,No,Open Storage,35.1,15.7,Unripe,Low,Fair,69.4,22.0,31.1,0,Not Spoiled,1.9,5,275,6523720,6407225,116495
TXN-2026-000014,FRM-521,LOG-95,2026-05-08T09:15:00,2026-05-08,09:15:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Onitsha,Anambra,Onitsha,N/A,Rainy Season,1082.8,273,22.2,6060.6,21608,Wooden Crate,Covered Truck,Fair,2.0,Yes,No,Shaded Storage,18.0,11.9,Semi-ripe,Severe,Fair,74.5,36.3,27.3,0,Not Spoiled,12.0,33,240,5898984,5185920,713064
